grade_band,category,publisher,unit_id,tip
중3,내신,능률,01_강조의_DO,"강조의 do는 평서문에서 동사를 강조할 때 사용한다."
중3,내신,능률,01_강조의_DO,"현재 시제 강조에는 do 또는 does를 사용한다."
중3,내신,능률,01_강조의_DO,"I·we·you·they 주어에는 do를 사용한다."
중3,내신,능률,01_강조의_DO,"He·she·it 주어에는 does를 사용한다."
중3,내신,능률,01_강조의_DO,"과거 시제 강조에는 did를 사용한다."
중3,내신,능률,01_강조의_DO,"강조의 do 뒤에는 항상 동사원형이 온다."
중3,내신,능률,01_강조의_DO,"does 뒤에는 동사원형만 올 수 있다."
중3,내신,능률,01_강조의_DO,"did를 사용할 때 동사형 변화는 없다."
중3,내신,능률,01_강조의_DO,"의문문·부정문에서는 강조의 do 중복을 피한다."
중3,내신,능률,01_강조의_DO,"be 동사에는 do 강조를 사용할 수 없다."
중3,내신,능률,01_강조의_DO,"조동사 뒤에는 do 강조를 사용할 수 없다."
중3,내신,능률,01_강조의_DO,"주어와 시제 일치에 주의해야 한다."
중3,내신,능률,01_강조의_DO,"do 강조는 의미 강조만 제공하며 의미 변화는 없다."
중3,내신,능률,01_강조의_DO,"시간 부사(always 등)와 자주 함께 쓰인다."
중3,내신,능률,01_강조의_DO,"부정문에서는 do 강조보다 not을 우선 사용한다."
중3,내신,능률,01_강조의_DO,"did 강조 시 부사 위치는 조심해야 한다."
중3,내신,능률,01_강조의_DO,"do 강조는 문장 강조용으로만 쓰인다."
중3,내신,능률,01_강조의_DO,"does 강조 구문에서도 동사원형만 사용한다."
중3,내신,능률,01_강조의_DO,"did는 과거 사실을 강조할 때만 사용한다."
중3,내신,능률,01_강조의_DO,"do 강조 구문에서는 축약형을 사용하지 않는다."
중3,내신,능률,01_강조의_DO,"강조의 do는 주로 긍정문에서 쓰인다."
중3,내신,능률,01_강조의_DO,"부사절 강조 시에도 do 강조를 사용할 수 있다."
중3,내신,능률,01_강조의_DO,"do 강조는 formal register에 어울린다."
중3,내신,능률,01_강조의_DO,"does는 3인칭 단수 강조에만 사용한다."
중3,내신,능률,01_강조의_DO,"강조 구문에는 always·indeed 같은 부사가 자주 온다."
중3,내신,능률,01_강조의_DO,"did 강조 시 동사원형 바로 앞에 위치해야 한다."
중3,내신,능률,01_강조의_DO,"do 강조는 구어보다는 문어에 더 어울린다."
중3,내신,능률,01_강조의_DO,"do 강조는 반복 동사 사용을 피할 때 유용하다."
중3,내신,능률,01_강조의_DO,"does 강조에도 부정어(not) 결합 가능하다."
중3,내신,능률,02_가정법,"가정법 과거는 현재 사실과 반대되는 상황을 표현한다."
중3,내신,능률,02_가정법,"가정법 과거에서 be동사는 모든 주어에 were를 쓴다."
중3,내신,능률,02_가정법,"가정법 과거완료는 과거 사실과 반대되는 상황을 표현한다."
중3,내신,능률,02_가정법,"가정법 과거완료의 if절에는 had + p.p. 형태를 쓴다."
중3,내신,능률,02_가정법,"가정법 과거의 주절에는 would/could/might + 동사원형을 쓴다."
중3,내신,능률,02_가정법,"가정법 과거완료의 주절에는 would/could/might + have + p.p.를 쓴다."
중3,내신,능률,02_가정법,"혼합 가정법은 과거 조건과 현재 결과를 함께 표현할 때 쓴다."
중3,내신,능률,02_가정법,"if절 없이도 가정법 문장이 도치되어 쓸 수 있다."
